,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
266977,A-266979,MapQuest,201.0,2,2016-12-28 05:59:38,2016-12-28 06:44:17,30.330338,-97.69545,,,0.0,Accident on Meador Ave at Wilks Ave.,1098.0,Wilks Ave,L,Austin,Travis,TX,78752-2748,US,US/Central,KATT,2016-12-28 05:51:00,68.0,,93.0,30.08,7.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
1342493,A-1342524,MapQuest,201.0,2,2019-02-11 06:59:25,2019-02-11 07:29:16,40.10733,-76.089142,,,0.0,Accident on Railroad Ave at Spruce St.,315.0,N Railroad Ave,R,New Holland,Lancaster,PA,17557-9381,US,US/Eastern,KLNS,2019-02-11 06:53:00,28.9,23.9,92.0,30.27,1.8,East,4.6,0.01,Light Snow,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Day,Day,Day
1182907,A-1182935,MapQuest,201.0,3,2019-05-22 12:29:28,2019-05-22 14:14:11,39.699188,-86.148636,,,0.0,Right lane blocked due to accident on I-465 Eastbound at Exits 2A 2B US-31 East St.,,I-465 W,R,Indianapolis,Marion,IN,46227,US,US/Eastern,KIND,2019-05-22 12:33:00,66.0,66.0,87.0,29.15,10.0,S,12.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1328024,A-1328054,MapQuest,201.0,2,2019-02-04 17:42:31,2019-02-04 18:12:15,39.269981,-76.503273,,,0.0,Accident on Wise Ave at Merritt Blvd.,,Merritt Blvd,R,Dundalk,Baltimore County,MD,21222,US,US/Eastern,KDMH,2019-02-04 17:54:00,46.9,,68.0,29.99,,North,,,,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
2710450,A-2710498,Bing,,3,2017-07-19 16:58:59,2017-07-19 22:58:59,39.975493,-82.98342,39.97004,-82.98418,0.379,At I-670/Spring St/Long St/Exit 109A - Accident.,,North Fwy N,R,Columbus,Franklin,OH,43203,US,US/Eastern,KCMH,2017-07-19 16:51:00,89.1,,45.0,30.04,10.0,SSW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1906265,A-1906305,MapQuest,201.0,2,2018-05-22 16:27:53,2018-05-22 17:57:30,29.911232,-96.927765,,,0.639999985695,Lane blocked due to accident on TX-71 Eastbound between Boening Rd and Bordovsky Rd.,,Bordovsky Rd,R,La Grange,Fayette,TX,78945,US,US/Central,K3T5,2018-05-22 16:35:00,87.4,,57.0,29.91,10.0,SSE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1240275,A-1240304,MapQuest,201.0,2,2019-04-17 20:44:39,2019-04-17 22:29:13,34.266037,-118.446693,,,0.0,#5 and #6 lane blocked due to accident on CA-118 Eastbound before I-5 . SigAlert issued.,,CA-118 E,R,Mission Hills,Los Angeles,CA,91345,US,US/Pacific,KWHP,2019-04-17 19:50:00,70.0,70.0,31.0,29.05,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
2125443,A-2125483,MapQuest,201.0,2,2018-01-10 16:08:46,2018-01-10 16:38:30,34.281757,-118.695274,,,0.0,#2 lane blocked due to accident on CA-118 Westbound at Exit 28 Stearns St.,,CA-118 W,R,Simi Valley,Ventura,CA,93063,US,US/Pacific,K3A6,2018-01-10 15:51:00,66.0,66.0,43.0,29.16,10.0,NNW,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3219416,A-3219576,Bing,,4,2018-12-12 00:00:48,2018-12-12 00:30:41,33.414432,-111.637159,33.42711,-111.6359,0.879,At University Dr/Exit 27 - Accident. Blocked ahead.,,AZ-202 Loop N,R,Mesa,Maricopa,AZ,85208,US,US/Mountain,KIWA,2018-12-12 00:15:00,47.7,,71.0,30.05,10.0,ESE,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3450760,A-3450924,Bing,,2,2019-04-25 14:23:26,2019-04-25 14:53:11,34.06121,-118.17395,34.06121,-118.17395,0.0,At N Eastern Ave/Paseo Rancho Castilla - Accident.,1633.0, N Eastern Ave,L,Los Angeles,Los Angeles,CA,90063-1053,US,US/Pacific,KCQT,2019-04-25 14:47:00,72.0,,55.0,29.76,7.0,,,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
270698,A-270700,MapQuest,201.0,2,2017-01-15 14:36:04,2017-01-15 15:05:25,30.247168,-97.805,,,0.01,Accident on MoPac Expy Service Road Northbound at TX-360 Capital of Texas Hwy.,,Mopac Expy N,R,Austin,Travis,TX,78746,US,US/Central,KATT,2017-01-15 14:42:00,63.0,,100.0,29.9,3.0,Variable,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
2106841,A-2106881,MapQuest,201.0,2,2018-01-02 16:57:10,2018-01-02 17:26:32,35.820755,-78.323906,,,0.0,Accident on NC-97 Gannon Ave at Stratford Dr.,401.0,Stratford Dr,L,Zebulon,Wake,NC,27597-2215,US,US/Eastern,KLHZ,2018-01-02 17:00:00,26.6,,34.0,30.49,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3412623,A-3412787,Bing,,3,2017-10-27 12:46:54,2017-10-27 18:46:54,32.67614,-97.01409,32.67618,-97.03483,1.206,At TX-161/George Bush Tpke/Exit 455 - Accident.,,I-20 W,R,Grand Prairie,Dallas,TX,75052,US,US/Central,KGPM,2017-10-27 12:50:00,53.6,,33.0,30.16,10.0,NW,13.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1991300,A-1991340,MapQuest,201.0,3,2018-03-03 12:00:31,2018-03-03 12:45:07,34.038456,-118.27401,,,0.0,Right hand shoulder blocked due to accident on I-10 Westbound at Exits 12 13B I-110.,,CA-110 S,R,Los Angeles,Los Angeles,CA,90015,US,US/Pacific,KCQT,2018-03-03 11:47:00,60.1,,55.0,30.07,10.0,Variable,3.5,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1495816,A-1495848,MapQuest,201.0,2,2018-11-02 15:15:54,2018-11-02 15:44:27,40.506935,-111.435493,,,0.0,Accident on UT-113 Midway Ln both ways at Southfield Rd.,1053.0,W Midway Ln,L,Heber City,Wasatch,UT,84032,US,US/Mountain,K36U,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1192224,A-1192252,MapQuest,201.0,2,2019-05-28 06:56:29,2019-05-28 08:28:51,40.236599,-75.348969,,,0.0,Accident on Bustard Rd at Liberty Bell Dr.,1799.0,Bustard Rd,L,Harleysville,Montgomery,PA,19438,US,US/Eastern,KPTW,2019-05-28 06:54:00,61.0,61.0,87.0,29.56,8.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1058394,A-1058420,MapQuest,201.0,2,2019-07-29 05:04:56,2019-07-29 08:40:12,40.691326,-73.726852,,,0.0,Accident on Cross Island Pkwy Northbound after Linden Blvd.,,Cross Island Pkwy S,R,Cambria Heights,Queens,NY,11411,US,US/Eastern,KJFK,2019-07-29 04:51:00,74.0,74.0,79.0,30.01,10.0,WSW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
554771,A-554779,MapQuest,201.0,2,2020-06-25 10:38:11,2020-06-25 12:25:12,40.834259,-73.264633,,,0.0,Accident on NY-454 Veterans Hwy at Fernwood Dr.,311.0,Veterans Memorial Hwy,L,Commack,Suffolk,NY,11725-4318,US,US/Eastern,KFRG,2020-06-25 10:53:00,82.0,82.0,31.0,29.9,10.0,WNW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3058598,A-3058758,Bing,,2,2019-12-19 21:03:24,2019-12-20 01:03:24,43.65683,-123.50541,43.65683,-123.50541,0.0,At OR-138/Elkton-Sutherlin Hwy - Accident.,33075.0, State Highway 38,R,Elkton,Douglas,OR,97436-9777,US,US/Pacific,KRBG,2019-12-19 20:53:00,57.0,57.0,74.0,29.36,10.0,S,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
2771767,A-2771826,Bing,,2,2020-05-16 11:21:00,2020-05-16 12:41:39,34.115507,-118.184329,34.115507,-118.184329,0.0,At York Blvd - Accident.,6187.0, York Blvd,L,Los Angeles,Los Angeles,CA,90042-3547,US,US/Pacific,KCQT,2020-05-16 10:52:00,80.0,80.0,42.0,29.67,10.0,CALM,0.0,0.0,Fair,True,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
547210,A-547218,MapQuest,343.0,3,2020-06-04 04:31:58,2020-06-04 06:54:00,40.075218,-102.28479,,,3.25999999046,Reopened for through traffic due to earlier accident on US-34 both ways between County Road Ff and County Road Ee.,28000.0,US Highway 34,R,Wray,Yuma,CO,80758-9333,US,US/Mountain,K2V5,2020-06-04 04:35:00,55.0,55.0,91.0,26.38,10.0,WSW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
1466739,A-1466771,MapQuest,201.0,2,2018-12-17 10:09:54,2018-12-17 10:54:29,39.974239,-82.987144,,,0.0,Accident on I-71 Southbound at US-40 Broad St.,546.0,Jack Gibbs Blvd,R,Columbus,Franklin,OH,43215-1720,US,US/Eastern,KCMH,2018-12-17 09:51:00,37.0,29.8,79.0,30.1,8.0,West,10.4,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
2659489,A-2659537,Bing,,2,2017-03-31 09:37:37,2017-03-31 15:37:37,33.85974,-118.29428,33.85934,-118.29053,0.217,At Vermont Ave/W 190th St/Exit 37B - Accident.,,San Diego Fwy S,R,Gardena,Los Angeles,CA,90248,US,US/Pacific,KHHR,2017-03-31 09:53:00,64.9,,20.0,29.8,10.0,North,9.2,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
120367,A-120369,MapQuest,201.0,2,2016-12-29 11:28:51,2016-12-29 12:13:14,26.560946,-81.873161,,,0.0,Accident on Brantley Rd at Crystal Ct.,1947.0,Brantley Rd,L,Fort Myers,Lee,FL,33907-3901,US,US/Eastern,KFMY,2016-12-29 11:53:00,81.0,,60.0,30.12,10.0,West,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1657728,A-1657761,MapQuest,201.0,2,2018-09-18 09:18:59,2018-09-18 10:03:40,30.279062,-97.725128,,,0.0,Accident on Martin Luther King Jr Blvd near Comal St.,1748.0,Comal St,L,Austin,Travis,TX,78702,US,US/Central,KATT,2018-09-18 08:51:00,79.0,,79.0,30.0,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
962472,A-962498,MapQuest,241.0,3,2019-09-06 06:58:39,2019-09-06 08:42:54,41.31617,-81.513634,,,0.0,Right lane blocked due to accident on I-271 Northbound after Exit 19 OH-82 Aurora Rd.,,I-271 S,R,Macedonia,Summit,OH,44056,US,US/Eastern,KPOV,2019-09-06 06:55:00,49.0,49.0,92.0,28.7,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
2828054,A-2828153,Bing,,2,2020-06-15 04:57:00,2020-06-15 07:09:38,38.685598,-121.557955,38.685598,-121.557955,0.0,At Power Line Rd - Accident.,4134.0, W Elkhorn Blvd,R,Sacramento,Sacramento,CA,95835-9502,US,US/Pacific,KSMF,2020-06-15 04:53:00,63.0,63.0,72.0,29.88,10.0,SE,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
1048320,A-1048346,MapQuest,201.0,2,2019-07-23 10:37:07,2019-07-23 11:42:17,38.926941,-77.070869,,,0.0,Accident on 36th St at Massachusetts Ave.,3598.0,Massachusetts Ave NW,L,Washington,District of Columbia,DC,20007-1447,US,US/Eastern,KDCA,2019-07-23 10:52:00,72.0,72.0,81.0,29.88,10.0,W,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
2397726,A-2397767,MapQuest,201.0,2,2017-09-25 11:43:22,2017-09-25 12:42:42,32.509872,-93.742821,,,0.0,Accident on Lake St Southbound between Commerce St and I-20.,,US-71 S,R,Shreveport,Caddo,LA,71101,US,US/Central,KDTN,2017-09-25 11:53:00,84.9,,61.0,29.94,10.0,SSE,8.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1816365,A-1816401,MapQuest,201.0,3,2018-06-08 15:51:27,2018-06-08 16:20:57,34.50631,-82.963547,,,0.0,Accident on I-85 Southbound near Exit 4 Old Dobbins Bridge Rd.,,I-85 S,R,Fair Play,Oconee,SC,29643,US,US/Eastern,KCEU,2018-06-08 14:54:00,88.0,,46.0,30.12,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
2670837,A-2670885,Bing,,2,2017-05-04 08:28:16,2017-05-04 14:28:16,40.76962,-74.02584,40.76791,-74.02202,0.232,At Park Ave - Accident.,,Lincoln Tunl E,R,Union City,Hudson,NJ,07087,US,US/Eastern,KNYC,2017-05-04 08:51:00,54.0,,43.0,30.29,10.0,Variable,6.9,,Clear,False,False,False,False,True,False,False,False,True,False,False,False,False,Day,Day,Day,Day
3213122,A-3213282,Bing,,2,2018-12-04 15:18:11,2018-12-04 15:47:53,34.02833,-118.20484,34.02886,-118.20027,0.264,Ramp to Exit 1B - Accident.,,Pomona Fwy E,R,Los Angeles,Los Angeles,CA,90023,US,US/Pacific,KCQT,2018-12-04 15:47:00,70.0,,22.0,29.92,10.0,Variable,3.5,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
2726013,A-2726067,Bing,,2,2020-05-28 07:27:06,2020-05-28 07:42:06,34.13018,-117.94485,34.12882,-117.93754,0.429,At Irwindale Ave - Accident. on the right.,,Foothill Fwy E,R,Baldwin Park,Los Angeles,CA,91706,US,US/Pacific,KEMT,2020-05-28 07:53:00,65.0,65.0,75.0,29.84,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1003028,A-1003054,MapQuest-Bing,246.0,2,2019-08-27 13:16:00,2019-08-27 14:37:26,36.805431,-119.736099,,,0.0,Three lanes blocked due to accident on CA-168 Eastbound at Shaw Ave.,,CA-168 E,R,Fresno,Fresno,CA,93726,US,US/Pacific,KFAT,2019-08-27 12:53:00,99.0,99.0,26.0,29.43,10.0,WNW,3.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3216797,A-3216957,Bing,,2,2018-12-09 13:22:25,2018-12-09 17:22:25,44.771284,-122.648148,44.770794,-122.650502,0.12,At Kingston-Jordan Dr - Accident.,44479.0, Albany-Lyons Hwy,L,Lyons,Linn,OR,97358-9563,US,US/Pacific,KSLE,2018-12-09 12:56:00,37.9,,86.0,30.18,5.0,Calm,,0.13,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1952204,A-1952244,MapQuest,201.0,3,2018-04-14 13:50:01,2018-04-14 14:34:22,34.147549,-118.082069,,,0.0,#4 lane blocked due to accident on I-210 Eastbound at Exits 29B 30A Walnut St. SigAlert issued.,83.0,Sierra Madre Villa Ave,L,Pasadena,Los Angeles,CA,91107,US,US/Pacific,KMWS,,,,,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day
2030011,A-2030051,MapQuest-Bing,241.0,3,2018-03-22 13:54:04,2018-03-22 14:38:47,37.808498,-122.366852,,,0.0,#2 lane blocked due to accident on I-80 Eastbound at Exit 4A Treasure Is.,,San Francisco-Oakland Bay Brg E,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2018-03-22 13:53:00,55.0,,69.0,29.91,10.0,West,28.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3122128,A-3122288,Bing,,2,2019-09-30 20:47:12,2019-09-30 21:16:30,32.83615,-97.19608,32.83741,-97.19425,0.137,At Bedford Euless Rd - Accident. Lane blocked.,,TX-183 E,R,Hurst,Tarrant,TX,76053,US,US/Central,KFWD,2019-09-30 20:53:00,88.0,88.0,55.0,29.17,10.0,ESE,12.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
791825,A-791850,MapQuest-Bing,201.0,3,2019-12-18 14:46:48,2019-12-18 15:46:18,32.665352,-117.079788,,,0.0,#2 & HOV lane blocked and right hand shoulder blocked due to accident on I-805 Southbound before CA-54.,,I-805 S,R,National City,San Diego,CA,91950,US,US/Pacific,KNRS,2019-12-18 14:56:00,63.0,63.0,46.0,30.02,10.0,W,14.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
709469,A-709491,MapQuest,201.0,2,2020-02-12 05:41:24,2020-02-12 06:55:07,43.120819,-83.558617,,,0.0,Accident on Mt Morris Rd at Irish Rd.,8000.0,Irish Rd,L,Otisville,Genesee,MI,48463-9421,US,US/Eastern,KD95,2020-02-12 05:36:00,25.0,20.0,72.0,29.19,10.0,WSW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
415040,A-415046,MapQuest,201.0,3,2017-05-03 15:32:05,2017-05-03 16:01:52,34.05238,-84.556145,,,0.01,Accident on I-575 Northbound at Exit 4 Bells Ferry Rd.,,Bells Ferry Rd NW,R,Kennesaw,Cobb,GA,30144,US,US/Eastern,KRYY,2017-05-03 15:47:00,82.4,,26.0,29.95,10.0,South,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
2377177,A-2377218,MapQuest,201.0,2,2017-09-15 06:40:55,2017-09-15 07:10:34,33.521584,-82.030968,,,0.0,Accident on GA-104 Riverwatch Pkwy at I-20.,,Riverwatch Pkwy,R,Augusta,Richmond,GA,30909,US,US/Eastern,KDNL,2017-09-15 06:53:00,69.1,,90.0,30.04,9.0,North,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
1251882,A-1251911,MapQuest,201.0,3,2019-04-24 17:27:17,2019-04-24 19:26:42,38.660713,-90.357368,,,0.0,Right lane blocked due to accident on I-170 Southbound at Exit 2 Delmar Blvd.,,Delmar Blvd,R,Saint Louis,St. Louis County,MO,63124,US,US/Central,KSTL,2019-04-24 17:51:00,62.0,62.0,86.0,29.24,4.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
2524362,A-2524403,Bing,,2,2017-01-11 06:14:55,2017-01-11 12:14:55,40.08452,-82.98735,40.09313,-82.98656,0.596,At OH-161/Exit 117 - Accident.,,North Fwy N,R,Columbus,Franklin,OH,43229,US,US/Eastern,KOSU,2017-01-11 05:53:00,30.9,25.2,96.0,30.18,7.0,SSE,5.8,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3368994,A-3369157,Bing,,4,2018-01-14 05:16:51,2018-01-14 11:16:51,39.35732,-76.6499,39.40752,-76.66186,3.527,Closed between Cold Spring Ln/Exit 9 and I-695/Jones Falls Expy/Exit 23 - Road closed due to accident.,,I-83 N,R,Baltimore,Baltimore City,MD,21210,US,US/Eastern,KDMH,2018-01-14 04:54:00,19.0,,47.0,30.56,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
2652507,A-2652555,Bing,,2,2017-03-24 06:48:47,2017-03-24 12:48:47,37.28092,-113.30901,37.28667,-113.30362,0.496,At UT-17/Exit 27 - Accident.,,I-15 N,R,Toquerville,Washington,UT,84774,US,US/Mountain,KSGU,2017-03-24 06:56:00,39.9,,79.0,30.21,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
2000653,A-2000693,MapQuest,201.0,3,2018-03-09 08:01:05,2018-03-09 09:00:30,41.396587,-81.943642,,,0.0,Accident on I-480 Westbound at Exit 3 Stearns Rd.,,Outerbelt South Fwy W,R,North Olmsted,Cuyahoga,OH,44070,US,US/Eastern,KCLE,2018-03-09 07:51:00,28.0,17.0,81.0,29.97,5.0,WSW,13.8,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1578166,A-1578199,MapQuest,229.0,2,2018-10-11 16:46:12,2018-10-11 17:15:48,36.237865,-86.787033,,,0.0,Slow traffic and center lane blocked due to accident on TN-155 Eastbound at Exits 18A 18B I-24.,,Briley Pkwy E,R,Nashville,Davidson,TN,37207,US,US/Central,KBNA,2018-10-11 16:53:00,66.0,,47.0,29.96,10.0,NW,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
442194,A-442200,MapQuest,201.0,2,2017-05-11 08:43:44,2017-05-11 09:28:28,27.386414,-82.416656,,,0.0,Accident on Legacy Blvd at University Pkwy.,6744.0,University Pkwy,R,Sarasota,Sarasota,FL,34240,US,US/Eastern,KSRQ,2017-05-11 08:53:00,80.1,,62.0,30.05,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
1908855,A-1908895,MapQuest,201.0,2,2018-05-23 16:10:41,2018-05-23 16:40:30,30.121574,-97.81163,,,0.0,Accident on Old San Antonio Rd at Field Dr.,12698.0,Old San Antonio Rd,R,Manchaca,Travis,TX,78652-5623,US,US/Central,KAUS,2018-05-23 15:53:00,87.1,,55.0,29.97,10.0,East,17.3,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
